Name,Latitude,Longitude,Incorportation_date,pop_april_1980,pop_april_1990,pop_april_2000,pop_april_2010,area-km2
Adelanto,34.582769,-117.409214,1970,2164,8517,18130,31765,95
Agoura Hills,34.153339,-118.761675,1982,,20390,20537,20330,24
Alameda,37.765206,-122.241636,1854,63852,76459,72259,73812,94
Albany,37.886869,-122.297747,1908,15130,16327,16444,18539,36
Alhambra,34.095286,-118.127014,1903,64767,82106,85804,83089,98
Aliso Viejo,33.575,-117.725556,1901,3025,3231,2892,2827,30
Alturas,41.487114,-120.542456,1915,136,196,196,185,35
Amador City,38.419356,-120.824103,1876,219494,266406,328014,336265,66
American Canyon,38.174917,-122.260803,1956,7381,8299,9022,9932,57
Anaheim,33.835292,-117.914503,1912,2302,2409,3004,3836,42
Anderson,40.448208,-122.297783,1872,42683,62195,90532,102372,75
Angels,38.067783,-120.538531,1988,,46079,54239,69135,2
Antioch,38.004922,-121.805789,1903,45993,48290,53054,56364,22
Arcadia,34.139728,-118.035344,1858,12850,15197,16651,17231,33
Arcata,40.866517,-124.082839,1911,11290,14378,15851,17252,57
Arroyo Grande,35.118586,-120.590725,1959,14301,15464,16380,16522,16
Artesia,33.865847,-118.083122,1960,6863,9286,12956,19304,22
Arvin,35.2018,-118.833106,1979,16232,23138,26411,28310,32
Atascadero,35.489417,-120.670725,1923,7797,7163,7194,6914,36
Atwater,37.347717,-120.609083,1922,17530,22282,23113,28168,72
Auburn,38.896564,-121.076889,1888,7540,10592,12462,13330,56
Avalon,33.342819,-118.328228,1913,2022,2918,3127,3728,68
Avenal,36.004122,-120.129028,1979,4137,9770,14674,15505,87
Azusa,34.133619,-117.907564,1898,29380,41333,44712,46361,40
Bakersfield,35.373292,-119.018711,1873,105611,174820,246889,347483,19
Baldwin Park,34.085286,-117.960897,1956,50554,69330,75837,75390,53
Banning,33.925572,-116.876411,1913,14020,20570,23562,29603,16
Barstow,34.895797,-117.017283,1947,17690,21472,21119,22639,65
Beaumont,33.929461,-116.977247,1912,6818,9685,11384,36877,25
Bell,33.977514,-118.187017,1927,25450,34365,36664,35477,33
Bell Gardens,33.965292,-118.151458,1961,34117,42355,44054,42072,37
Bellflower,33.881683,-118.117011,1957,53441,61815,72878,76616,56
Belmont,37.520214,-122.2758,1926,24505,24127,25123,25835,67
Belvedere,37.872703,-122.464417,1896,2401,2147,2125,2068,100
Berkeley,37.871592,-122.272747,1850,15376,24437,26865,26997,85
Beverly Hills,34.073619,-118.400356,1878,103328,102724,102743,112580,49
Big Bear Lake,34.243897,-116.911422,1914,32646,31971,33784,34109,19
Biggs,39.412389,-121.71275,1980,,5351,5438,5019,30
Bishop,37.363539,-118.395111,1903,1413,1581,1793,1707,43
Blue Lake,40.882908,-123.98395,1903,3333,3475,3575,3879,69
Blythe,33.617233,-114.589175,1910,1201,1235,1135,1253,22
Bradbury,34.14695,-117.970897,1916,6805,8428,20463,20817,14
Brawley,32.978658,-115.530267,1957,846,829,855,1048,98
Brea,33.916681,-117.900061,1908,14946,18923,22052,24953,51
Brentwood,34.057361,-118.480511,1917,27913,32873,35410,39282,47
Brisbane,37.680767,-122.399972,1948,4434,7563,23302,51481,17
Buellton,34.613597,-120.19265,1961,2969,2952,3597,4282,48
Buena Park,33.867514,-117.998117,1953,64165,68784,78282,80530,22
Burbank,34.180839,-118.308967,1911,84625,93643,100316,103340,96
Burlingame,37.584103,-122.366083,1908,26173,26801,28158,28806,41
Calabasas,34.138333,-118.660833,1908,14412,18633,27109,38572,60
Calexico,32.678947,-115.498883,1965,2743,5955,8385,14120,69
California City,35.1258,-117.985903,1919,2636,2690,7289,7705,69
Calimesa,34.003903,-117.061975,1886,3879,4468,5190,5155,12
Calipatria,33.125597,-115.514153,1964,37797,52303,57077,65201,59
Calistoga,38.578797,-122.579706,1952,26910,36048,38138,39349,26
Camarillo,34.216394,-119.037603,1949,9095,10171,10033,9918,43
Campbell,37.287164,-121.949958,1952,35490,63126,78247,105328,83
Canyon Lake,33.685022,-117.273092,1916,4707,4239,4081,3722,6
Capitola,36.975228,-121.953292,1965,10835,13747,14194,13040,75
Carlsbad,33.158092,-117.350594,1968,81221,83995,89730,91714,87
Carmel-By-the-Sea,36.555239,-121.923289,1981,,30085,42647,51200,49
Carpinteria,34.398883,-119.518456,1918,13281,26314,34609,45417,47
Carson,33.831406,-118.282017,1956,53020,53240,51488,49041,93
Cathedral City,33.779742,-116.465292,1872,26716,40079,60516,86187,11
Ceres,37.594933,-120.957711,1910,40165,59682,67168,77983,85
Cerritos,33.858347,-118.064786,1923,5122,5930,14416,18720,25
Chico,39.728494,-121.837478,1911,35490,63126,173556,243916,55
Chino,34.012236,-117.688944,1907,31028,32503,33998,34926,42
Chino Hills,33.989819,-117.732586,1964,4325,7317,10762,10897,18
Chowchilla,37.123,-120.260175,1872,3989,4924,6831,8618,22
Chula Vista,32.640053,-117.084197,1912,33021,50323,68468,95631,24
Citrus Heights,38.707125,-121.281061,1946,9129,16896,22724,40704,92
Claremont,34.096675,-117.719778,1906,6593,8212,16213,13380,47
Clayton,37.941033,-121.935792,1910,981,1306,1496,1963,100
Clearlake,38.958231,-122.626372,1924,395,1103,1187,1792,35
Cloverdale,38.805461,-123.017222,1887,21310,40213,47662,52154,36
Clovis,36.825228,-119.702919,1868,4075,4934,5402,5971,82
Coachella,33.6803,-116.173894,1960,10509,12135,12568,12823,79
Coalinga,36.139678,-120.36015,1888,81347,90454,93493,96455,45
Colfax,39.100731,-120.953275,1905,103763,111348,121780,122067,52
Colton,34.073903,-117.313656,1914,6454,13364,20835,24813,65
Colusa,39.214333,-122.009417,1907,4745,5870,6741,7663,39
Commerce,34.000569,-118.159792,1896,37791,76095,124966,152374,2
Compton,33.89585,-118.220072,1890,18790,26540,24100,18912,11
Concord,37.977978,-122.031072,1916,8074,8272,9100,9253,43
Corcoran,37.977978,-122.031072,1953,82562,96357,108724,109960,46
Corning,39.927658,-122.179156,1963,3346,5714,6471,7265,34
Corona,33.875294,-117.566439,1901,32746,43207,46837,47796,54
Coronado,32.685886,-117.183089,1854,3075,4380,7347,7643,50
Costa Mesa,33.641133,-117.918669,1960,18275,22817,24208,23805,94
Cotati,38.327778,-122.709167,1917,38139,38793,38816,38883,17
Covina,34.090008,-117.890339,1955,34297,40263,50546,58302,99
Crescent City,41.755947,-124.201747,1956,40738,42655,46229,47802,52
Cudahy,33.960569,-118.18535,1911,78427,92311,103625,101123,91
Culver City,34.021122,-118.396467,1989,,31896,35110,33351,43
Cupertino,37.322997,-122.032183,1982,26446,31306,41715,42039,72
Cypress,37.320531,-121.962242,1917,36640,46209,60308,65622,14
Daly City,37.687925,-122.470208,1959,5017,4860,4389,4161,74
Dana Point,33.466972,-117.698108,1953,1557,1661,1650,1624,41
Davis,38.544906,-121.740517,1915,16491,22762,39489,53041,45
Del Mar,32.959489,-117.265314,1963,5941,11668,16582,25938,95
Del Rey Oaks,36.593292,-121.834953,1989,,53672,56287,55544,19
Delano,35.768842,-119.247053,1906,9907,12743,16844,21453,17
Desert Hot Springs,33.961125,-116.501678,1878,7541,10401,16103,18351,55
Diamond Bar,34.028622,-117.810336,1908,836,892,886,939,13
Dinuba,36.543283,-119.387067,1935,3121,4196,4581,4950,19
Dixon,38.445464,-121.823297,1956,82602,91444,107323,111772,30
Dorris,41.967369,-121.918061,1957,16766,20688,21486,21321,62
Dos Palos,36.986058,-120.626572,1982,13496,23229,29973,46036,5
Downey,33.940014,-118.132569,1909,2253,2129,1923,1650,15
Duarte,34.13945,-117.977286,1983,,23451,29506,28155,39
Dublin,37.702153,-121.935792,1912,73892,88693,94869,99478,90
Dunsmuir,41.208208,-122.271953,1908,23996,31384,37835,42598,35
East Palo Alto,37.468828,-122.141075,1917,22731,22869,23171,23549,90
Eastvale,33.963056,-117.563889,1912,79494,106209,115965,113475,54
El Cajon,32.794772,-116.962528,1917,13752,15223,16033,16654,36
El Centro,32.792,-115.56305,1896,3714,5740,6882,10080,65
El Cerrito,37.916133,-122.310764,1986,,55386,58014,59518,53
El Monte,34.068622,-118.027567,1957,3127,4437,5963,7132,23
El Segundo,33.919181,-118.416464,1888,64355,108635,133559,143911,24
Elk Grove,38.4088,-121.371617,1878,754,835,781,737,70
Emeryville,37.831317,-122.285247,1856,24153,27025,26128,27191,23
Encinitas,33.036986,-117.291983,1911,5606,7276,9168,10334,30
Escalon,37.797428,-120.996603,1931,7391,6931,7319,7441,65
Escondido,33.119208,-117.086422,1903,58099,77211,96178,105321,3
Etna,41.456806,-122.894756,1960,5544,6235,8737,10588,11
Eureka,40.802072,-124.163672,1893,1367,1331,1382,1371,26
Exeter,36.296061,-119.142053,1914,9602,11992,13643,15002,30
Fairfield,38.249358,-122.039967,1914,3740,4429,5743,7549,5
Farmersville,36.297728,-119.206778,1946,11003,29802,51884,72203,21
Ferndale,40.576242,-124.263944,1952,36991,87535,128929,196069,79
Fillmore,34.399164,-118.918153,1889,5019,6078,6814,7273,14
Firebaugh,36.858839,-120.456008,1872,544,639,660,839,8
Folsom,38.677958,-121.176058,1906,7591,8788,10497,11926,15
Fontana,34.092233,-117.435047,1971,23287,28176,28803,30567,82
Fort Bragg,39.445722,-123.805292,1957,55080,53691,54978,55313,90
Fort Jones,41.663864,-124.252892,1908,2496,3208,3979,5570,39
Fortuna,40.598186,-124.157275,1956,131945,173339,203413,214089,99
Foster City,37.558547,-122.271078,1885,217129,354202,427652,494665,82
Fountain Valley,33.709186,-117.953669,1904,102246,114144,126003,135161,86
Fowler,36.630506,-119.678469,1946,5514,8889,19472,23647,57
Fremont,37.548269,-121.988572,1956,123307,143050,165196,170883,41
Fresno,36.746842,-119.772586,1930,45165,49847,57746,58829,12
Fullerton,33.870292,-117.925339,1870,25769,26303,41464,48821,97
Galt,38.254636,-121.299947,1906,139060,180038,194973,191719,84
Garden Grove,33.773906,-117.941447,1911,38500,47828,49415,50073,73
Gardena,33.88835,-118.308961,1947,2891,4660,7564,8187,53
Gilroy,37.005783,-121.568275,1978,8498,10946,11626,12040,79
Glendale,34.142508,-118.255075,1893,6697,9048,10922,12860,76
Glendora,34.136119,-117.865339,1947,4181,7464,12648,16330,54
Goleta,34.435828,-119.827639,1905,3982,4631,5382,6584,5
Gonzales,36.506628,-121.444381,1959,8827,11656,13067,13156,52
Grand Terrace,34.033903,-117.313653,1946,3629,5479,5659,7080,10
Grass Valley,39.219061,-121.061061,1915,3142,3931,4698,5520,44
Greenfield,36.3208,-121.243814,1959,7282,8886,11842,11324,17
Gridley,39.363778,-121.693583,1891,20958,30897,41686,53967,34
Grover Beach,35.121642,-120.621283,1964,10548,13639,14779,14254,2
Guadalupe,34.971644,-120.571836,1922,56437,71349,84112,84293,52
Gustine,37.257717,-120.998814,1876,94342,111498,140030,144186,77
Half Moon Bay,37.463553,-122.428586,1867,7217,9469,10722,11254,98
Hanford,36.32745,-119.645683,1910,22454,36094,58812,78657,94
Hawaiian Gardens,33.831403,-118.072842,1900,5963,16829,19488,24060,25
